title,url,summary
The truth about the humble potato,http://www.bbc.com/travel/story/20200302-the-true-origins-of-the-humble-potato,"A staple food for cultures across the globe, the tuber has emerged as a nutritional giant and the friend of peasants, rulers and sages. Even today, its possibilities are endless."
A century-old Argentine tradition,http://www.bbc.com/travel/story/20200303-the-iconic-buenos-aires-art-form-that-almost-disappeared,"For nearly a century, fileteado has been making the streets of the Argentine capital ever more vibrant and is now a trademark just as important as tango."
